id,tipo,idCliente,importeFinal
1,CORPORATIVO,1,464.000000
2,FAMILIAR,2,414.000000
3,FAMILIAR,3,373.500000
4,FAMILIAR,4,225.000000
5,FAMILIAR,5,315.000000
6,FAMILIAR,6,202.500000
7,CORPORATIVO,7,480.000000
8,CORPORATIVO,8,520.000000
9,FAMILIAR,9,324.000000
10,FAMILIAR,10,346.500000
11,FAMILIAR,11,324.000000
12,PERSONAL,12,120.000000
13,FAMILIAR,13,405.000000
14,FAMILIAR,14,180.000000
15,FAMILIAR,15,333.000000
16,FAMILIAR,16,153.000000
17,FAMILIAR,17,391.500000
18,FAMILIAR,18,153.000000
19,PERSONAL,19,100.000000
20,PERSONAL,20,100.000000
21,FAMILIAR,21,238.500000
22,FAMILIAR,22,216.000000
23,FAMILIAR,23,279.000000
24,PERSONAL,24,100.000000
25,PERSONAL,25,150.000000
26,PERSONAL,26,140.000000
27,FAMILIAR,27,207.000000
28,FAMILIAR,28,139.500000
29,PERSONAL,29,80.000000
30,PERSONAL,30,100.000000
31,PERSONAL,31,80.000000
32,PERSONAL,32,80.000000
33,PERSONAL,33,90.000000
34,PERSONAL,34,110.000000
35,FAMILIAR,35,207.000000
36,PERSONAL,36,150.000000
37,FAMILIAR,37,234.000000
38,PERSONAL,38,140.000000
39,FAMILIAR,39,202.500000
40,FAMILIAR,40,157.500000
41,PERSONAL,41,100.000000
42,PERSONAL,42,100.000000
43,PERSONAL,43,100.000000
44,PERSONAL,44,100.000000
45,PERSONAL,45,75.000000
46,PERSONAL,46,80.000000
47,PERSONAL,47,90.000000
48,PERSONAL,48,100.000000
49,PERSONAL,49,110.000000
50,PERSONAL,50,120.000000
